Transporte,Ruta,Semáforo,Última Actualización,Latitud,Longitud,Hora ETA
KZPW51,Fuera de zona,Fuera de zona,05-28 21:27,-28.312414,-70.701377,
PFBS15,Fuera de zona,Fuera de zona,05-20 18:14,-36.651507,-72.22732,
PGKD18,Fuera de zona,Fuera de zona,05-28 21:27,-27.583846,-70.448021,
PGKD17,Fuera de zona,Fuera de zona,05-28 21:27,-33.894165,-70.73409,22:10
TBGH39,Fuera de zona,Fuera de zona,05-28 21:27,-38.772651,-72.564589,
PCLZ41,Planta San Gabriel,En tránsito,05-28 21:25,-35.831445,-71.640998,
RFZY98,Fuera de zona,Fuera de zona,05-28 21:04,-25.706187,-70.362399,
RFZY99,Planta San Gabriel,En tránsito,05-28 21:24,-35.831227,-71.641083,
PZDJ58,Planta San Gabriel,En tránsito,05-28 21:23,-35.831393,-71.640551,
SVLV53,Planta ABI,En tránsito,05-28 21:23,-33.338529,-70.714007,
TRZC66,Fuera de zona,Fuera de zona,05-28 21:26,-34.210547,-70.769641,
PZDJ55,Planta San Gabriel,En tránsito,05-28 21:25,-35.831135,-71.641664,
PZDJ70,Fuera de zona,Fuera de zona,05-28 21:24,-33.964773,-70.707743,
PZDJ65,Taller SG,En tránsito,05-15 17:41,-35.838975,-71.64813,
PCLZ40,Taller SG,En tránsito,05-28 21:25,-35.839078,-71.648282,
PJKT51,Planta San Gabriel,En tránsito,05-28 21:25,-35.831224,-71.640952,
PZDJ63,Planta San Gabriel,En tránsito,05-28 16:51,-35.831089,-71.640709,
SVLV55,Planta San Gabriel,En tránsito,05-28 21:27,-35.831259,-71.641634,
SPVR14,Fuera de zona,Fuera de zona,05-28 21:28,-40.308569,-72.979911,
SVLV55E,Fuera de zona,Sin señal,,,,
SVLV46,Fuera de zona,Fuera de zona,05-28 21:28,-40.306735,-72.979024,
PJKT53,Planta San Gabriel,En tránsito,05-28 21:21,-35.831628,-71.64053,
PCLZ43,Planta San Gabriel,En tránsito,05-28 21:20,-35.831692,-71.640674,
PZDJ87,ICB,En tránsito,05-28 21:26,-33.332979,-70.694808,
PZDJ56,Taller Externo,En tránsito,05-27 02:38,-35.525685,-71.488951,
PZDJ57,Fuera de zona,Fuera de zona,05-28 21:26,-33.338143,-70.713246,
PZDJ85,Planta San Gabriel,En tránsito,05-28 21:20,-35.831542,-71.641003,
PJKT44,Planta San Gabriel,En tránsito,05-28 21:22,-35.83128,-71.640982,
PJKT50,Taller SG,En tránsito,05-28 21:18,-35.839062,-71.648204,
PJKT54,Fuera de zona,Fuera de zona,05-28 21:27,-34.156065,-70.792363,
PJKT52,Fuera de zona,Fuera de zona,05-28 21:26,-33.387547,-70.763539,
PZDJ61,Fuera de zona,Fuera de zona,05-28 21:28,-33.999339,-70.701999,
PJKT42,Planta San Gabriel,En tránsito,05-28 21:26,-35.831278,-71.640971,
PZDJ83,Fuera de zona,Fuera de zona,05-28 21:28,-34.398567,-70.870591,
PZDJ67,Planta San Gabriel,En tránsito,05-28 21:21,-35.831236,-71.640587,
PZDJ86,Planta San Gabriel,En tránsito,05-28 21:26,-35.831173,-71.640961,
PZDJ84,Planta San Gabriel,En tránsito,05-28 21:27,-35.83165,-71.641064,
PZDJ89,Planta San Gabriel,En tránsito,05-28 21:27,-35.831361,-71.640963,
PZDJ68,Planta San Gabriel,En tránsito,05-28 21:18,-35.83121,-71.64099,
PCLZ36,Fuera de zona,Fuera de zona,05-28 18:17,-33.388207,-70.764142,
PZDJ60,Fuera de zona,Sin señal,,,,
PJKT43,Planta San Gabriel,En tránsito,05-28 21:18,-35.831468,-71.641013,
PZDJ69,Taller SG,En tránsito,05-28 21:21,-35.838937,-71.648229,
SVLV56,Fuera de zona,Fuera de zona,05-28 21:27,-37.438764,-72.396586,
KZXJ72,Fuera de zona,Fuera de zona,05-28 21:27,-28.338884,-70.705678,
